Concurso,Data do Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Ganhadores 6 acertos,Cidade / UF,Rateio 6 acertos,Ganhadores 5 acertos,Cidade/UF 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Cidade/UF 4 acertos,Rateio 4 acertos,Acumulado 6 acertos,Arrecadação Total,Estimativa prêmio,Acumulado Sorteio Especial Mega da Virada,Observação
1,11/03/1996,04,05,30,33,41,52,0,,0.0,17,,39158.92,2016,,330.21,,0.0,0.0,,
2,18/03/1996,09,37,39,41,43,49,1,,2307162.23,65,,14424.02,4488,,208.91,,0.0,0.0,,
3,25/03/1996,10,11,29,30,36,47,2,,391192.51,62,,10515.93,4261,,153.01,,0.0,0.0,,
4,01/04/1996,01,05,06,27,42,59,0,,0.0,39,,15322.24,3311,,180.48,,0.0,0.0,,
5,08/04/1996,01,02,06,16,19,46,0,,0.0,98,,5318.1,5399,,96.53,,0.0,0.0,,
6,15/04/1996,07,13,19,22,40,47,0,,0.0,109,,7214.66,7147,,110.03,,0.0,0.0,,
7,22/04/1996,03,05,20,21,38,56,0,,0.0,100,,8746.05,5736,,152.48,,0.0,0.0,,
8,29/04/1996,04,17,37,38,47,53,0,,0.0,60,,16084.11,5262,,183.4,,0.0,0.0,,
9,06/05/1996,08,43,54,55,56,60,0,,0.0,17,,60043.79,2175,,469.31,,0.0,0.0,,
10,13/05/1996,04,18,21,25,38,57,0,,0.0,251,,6638.45,12590,,132.35,,0.0,0.0,,
11,20/05/1996,15,25,37,38,58,59,1,,15591365.07,148,,12706.05,9442,,199.16,,0.0,0.0,,
12,27/05/1996,04,16,19,20,27,43,0,,0.0,108,,6791.17,6454,,113.64,,0.0,0.0,,
13,03/06/1996,18,32,47,50,54,56,0,,0.0,43,,20543.98,2934,,301.09,,0.0,0.0,,
14,10/06/1996,02,16,23,27,47,53,0,,0.0,85,,10458.19,5323,,167.0,,0.0,0.0,,
15,17/06/1996,12,33,35,51,52,60,0,,0.0,57,,17919.89,3931,,259.84,,0.0,0.0,,
16,24/06/1996,20,32,34,49,58,60,0,,0.0,31,,33307.13,3250,,317.7,,0.0,0.0,,
17,01/07/1996,06,10,13,19,20,51,1,,6789869.08,144,,7628.37,9376,,117.16,,0.0,0.0,,
18,08/07/1996,23,27,36,37,42,56,0,,0.0,52,,13763.52,4484,,159.61,,0.0,0.0,,
19,15/07/1996,05,10,12,24,25,60,0,,0.0,159,,5380.14,9250,,92.48,,0.0,0.0,,
20,22/07/1996,11,25,28,30,33,51,0,,0.0,72,,15486.97,5728,,194.67,,0.0,0.0,,
21,29/07/1996,06,33,36,46,49,53,0,,0.0,63,,17694.19,5030,,221.62,,0.0,0.0,,
22,05/08/1996,01,09,31,38,46,56,0,,0.0,47,,27212.9,4865,,262.9,,0.0,0.0,,
23,12/08/1996,17,37,39,51,52,59,0,,0.0,74,,20198.46,4897,,305.23,,0.0,0.0,,
24,19/08/1996,01,08,14,28,33,43,1,,18661679.61,227,,7897.31,13486,,132.93,,0.0,0.0,,
25,25/08/1996,24,43,50,54,55,56,0,,0.0,28,,26338.5,2741,,269.06,,0.0,0.0,,
26,01/09/1996,10,22,50,53,57,58,0,,0.0,16,,52473.74,1823,,460.55,,0.0,0.0,,
27,08/09/1996,13,17,20,33,44,51,0,,0.0,99,,9306.24,6466,,142.49,,0.0,0.0,,
28,15/09/1996,03,06,22,24,54,60,0,,0.0,50,,19749.22,4895,,201.73,,0.0,0.0,,
29,22/09/1996,03,08,14,43,56,58,1,,5401793.6,44,,23083.15,5248,,193.53,,0.0,0.0,,
30,29/09/1996,07,14,15,29,38,50,0,,0.0,80,,11347.74,5885,,154.26,,0.0,0.0,,
31,06/10/1996,17,19,28,45,48,56,0,,0.0,103,,8793.04,5680,,159.45,,0.0,0.0,,
32,13/10/1996,05,14,33,36,43,44,0,,0.0,96,,11430.91,6876,,159.6,,0.0,0.0,,
33,20/10/1996,05,17,33,39,42,49,1,,13997410.74,128,,9545.76,8722,,140.09,,0.0,0.0,,
34,27/10/1996,13,15,17,40,53,57,0,,0.0,51,,13604.06,2627,,264.11,,0.0,0.0,,
35,03/11/1996,04,16,21,23,54,57,0,,0.0,39,,20051.18,3576,,218.68,,0.0,0.0,,
36,10/11/1996,03,13,17,25,29,51,0,,0.0,143,,6238.12,8548,,104.36,,0.0,0.0,,
37,17/11/1996,06,07,22,38,52,60,0,,0.0,47,,16848.61,3695,,214.32,,0.0,0.0,,
